01/17/19,OPA-analysis,The Accuracy and Fairness of Philadelphia’s Property Assessments,https://controller.phila.gov/philadelphia-audits/property-assessment-review/
10/23/19,gun-violence,Report on the Economic Impact of Homicides,https://controller.phila.gov/philadelphia-audits/economic-impact-of-homicides/
4/27/20,covid19-forecaster,Estimates of the Impact of COVID-19 on the City of Philadelphia’s Tax Revenues,https://controller.phila.gov/philadelphia-audits/covid19-fiscal-impact/
